2013 Measure Data: Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Medicare Part D Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Drug Plan Customer Service,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance",,,,Member Experience with Drug Plan,,,Patient Safety and Accuracy of Drug Pricing ,,,,,
H5793,Local CCP,"AETNA HEALTH, INC. (CT)",Aetna Medicare,Aetna Inc.,0:47,89%,0,Not enough data available,96%,0.42,40,13%,Medicare shows only a star rating for this topic,79%,83%,90%,98,3.00%,84.10%,75.60%,79.20%,74.40%
H5810,Local CCP,MOLINA HEALTHCARE OF CALIFORNIA,Molina Healthcare of California,"Molina Healthcare, Inc.,",0:19,77%,1.7,Not enough data available,97%,0.43,80,20%,Medicare shows only a star rating for this topic,74%,81%,84%,99,7.00%,90.50%,64.40%,62.80%,57.40%
H5811,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0:10,57%,CMS identified issues with plan’s data,Not enough data available,75%,0.43,32,20%,Medicare shows only a star rating for this topic,Not enough data available,87%,90%,97,9.80%,89.30%,73.50%,71.70%,68.40%
H5813,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:47,89%,5.7,Not enough data available,95%,0.26,40,10%,Medicare shows only a star rating for this topic,85%,80%,90%,98,4.60%,87.70%,74.00%,74.20%,67.90%
H5817,Local CCP,"AMERIGROUP TEXAS, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:18,75%,14.9,71%,98%,0.43,100,13%,Medicare shows only a star rating for this topic,80%,86%,86%,99,10.70%,88.30%,68.80%,65.60%,61.40%
H5820,PFFS,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.","Universal Health Care Group, Inc.",0:08,48%,CMS identified issues with plan’s data,100%,88%,0.4,0,21%,Medicare shows only a star rating for this topic,83%,83%,93%,99,8.20%,84.00%,67.00%,66.50%,60.70%
H5821,Local CCP,MAPFRE LIFE INSURANCE COMPANY,MAPFRE LIFE INSURANCE COMPANY,MAPFRE PRAICO CORPORATION,1:03,73%,0,Not enough data available,90%,0.36,80,34%,Medicare shows only a star rating for this topic,83%,87%,86%,99,9.00%,89.90%,57.30%,56.00%,32.90%
H5823,Local CCP,"MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare of Washington, Inc.","Molina Healthcare, Inc.,",0:19,77%,2.6,33%,93%,0.44,80,13%,Medicare shows only a star rating for this topic,Not enough data available,78%,85%,97,12.10%,86.10%,78.30%,73.90%,73.70%
H5826,Local CCP,COMMUNITY HEALTH PLAN OF WASHINGTON,Community HealthFirst Medicare Advantage Plan,Community Health Plan of Washington,0:10,28%,17.4,Not enough data available,94%,0.51,60,15%,Medicare shows only a star rating for this topic,Not enough data available,81%,90%,98,5.10%,86.70%,71.50%,73.00%,69.30%
H5832,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:44,89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,40,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,6.20%,Not enough data available,Not enough data available,77.40%,71.70%
H5850,Local CCP,"COVENTRY SUMMIT HEALTH PLAN, INC.",Coventry Summit Health Plan,Coventry Health Care Inc.,0:11,89%,4.5,Not enough data available,95%,0.39,40,19%,Medicare shows only a star rating for this topic,Not enough data available,86%,90%,99,8.10%,86.00%,71.50%,69.50%,63.40%
H5852,Local CCP,AIDS HEALTHCARE FOUNDATION,Positive Healthcare Partners,AIDS Healthcare Foundation,0:11,84%,Not enough data available,Not enough data available,Not enough data available,0.6,100,Not enough data available,Medicare shows only a star rating for this topic,Not enough data available,88%,90%,100,13.90%,90.70%,75.20%,74.50%,79.90%
H5854,Local CCP,"ANTHEM HEALTH PLANS, INC",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",0:07,69%,0,Not enough data available,89%,1.26,47,14%,Medicare shows only a star rating for this topic,77%,81%,89%,97,4.90%,83.20%,78.40%,79.40%,72.30%
H5859,Local CCP,"HEALTH PLAN OF CAREOREGON, INC.",CareOregon Advantage,"CareOregon, Inc.",0:10,95%,1.4,Not enough data available,98%,0.1,80,4%,Medicare shows only a star rating for this topic,Not enough data available,83%,89%,98,7.40%,83.10%,77.60%,75.70%,74.40%
H5868,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0.8,80%,95%,0.36,67,7%,Medicare shows only a star rating for this topic,85%,87%,93%,98,5.60%,85.00%,83.20%,81.50%,77.10%
H5883,Local CCP,BLUE CARE NETWORK OF MICHIGAN,Blue Care Network,Blue Cross Blue Shield of Michigan,0:11,76%,3,Not enough data available,84%,0.13,100,4%,Medicare shows only a star rating for this topic,84%,84%,94%,99,4.00%,84.40%,78.00%,82.00%,78.70%
H5887,Local CCP,"FIRST MEDICAL HEALTH PLAN, INC.","First Medical Health Plan, Inc.","First Medical Health Plan, Inc.",0:45,66%,CMS identified issues with plan’s data,Not enough data available,90%,0.56,0,29%,Medicare shows only a star rating for this topic,81%,86%,87%,99,10.00%,90.60%,52.40%,55.80%,34.20%
H5896,Local CCP,"AMERIGROUP MARYLAND, INC.",Amerigroup Community Care,AMERIGROUP Corporation,0:17,75%,0,Not enough data available,Not enough data available,0.32,100,11%,Medicare shows only a star rating for this topic,82%,83%,88%,99,9.70%,87.90%,60.60%,59.50%,58.00%
H5926,Local CCP,MOLINA HEALTHCARE OF MICHIGAN,Molina Healthcare of Michigan,"Molina Healthcare, Inc.,",0:24,77%,1.4,33%,96%,0.41,80,12%,Medicare shows only a star rating for this topic,80%,86%,88%,98,16.70%,85.90%,67.20%,64.60%,62.30%
H5928,Local CCP,CARE1ST HEALTH PLAN,Care1st Medicare Advantage Plan,Care1st Health Plan,0:07,91%,0.7,Not enough data available,92%,0.37,80,15%,Medicare shows only a star rating for this topic,Not enough data available,85%,88%,99,6.70%,89.80%,69.30%,68.90%,62.50%
H5932,Local CCP,"GATEWAY HEALTH PLAN, INC.",Gateway Health Plan Medicare Assured,Gateway Health Plan,0:15,95%,0.4,Not enough data available,Not enough data available,0.12,100,5%,Medicare shows only a star rating for this topic,84%,86%,92%,98,4.80%,83.40%,71.40%,70.30%,70.20%
H5938,Local CCP,CAPITAL HEALTH PLAN,Capital Health Plan,Blue Cross and Blue Shield of Florida,0:25,84%,2.6,Not enough data available,96%,0.05,100,1%,Medicare shows only a star rating for this topic,90%,91%,94%,99,8.40%,88.40%,68.60%,70.30%,68.40%
H5943,Local CCP,SCAN HEALTH PLAN,VillageHealth,SCAN Health Plan,0:10,68%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,12,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,11.90%,76.10%,79.50%,66.10%,64.60%
H5950,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:44,89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,40,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H5969,Local CCP,ALOHACARE,AlohaCare,AlohaCare,0:06,59%,0,Not enough data available,92%,0.17,100,20%,Medicare shows only a star rating for this topic,77%,85%,88%,99,6.40%,84.50%,62.50%,66.10%,61.90%
H5970,Local CCP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,0:11,97%,0,Not enough data available,95%,0.65,67,10%,Medicare shows only a star rating for this topic,83%,83%,90%,98,5.80%,84.10%,75.40%,79.80%,75.70%
H5985,Local CCP,ABRAZO ADVANTAGE HEALTH PLAN,Abrazo Advantage Health Plan,Vanguard Health Systems,0:10,93%,15.1,Not enough data available,89%,0.32,80,11%,Medicare shows only a star rating for this topic,83%,84%,87%,99,4.90%,86.20%,62.10%,62.10%,59.70%
H5989,Local CCP,"CENTERLIGHT HEALTHCARE, INC.","CenterLight Healthcare, Inc.","CenterLight Healthcare System, Inc.",0:30,94%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,3.10%,79.20%,86.90%,86.40%,74.00%
H5991,Local CCP,"AFFINITY HEALTH PLAN, INC.",Affinity Health Plan,Affinity Health Plan,0:14,84%,13,Not enough data available,Not enough data available,0.24,100,15%,Medicare shows only a star rating for this topic,76%,82%,89%,98,1.90%,90.20%,68.70%,69.30%,55.10%
H5992,Local CCP,"SENIOR WHOLE HEALTH OF NEW YORK, INC.",Senior Whole Health of New York,"SWH Holdings, Inc.",0:13,55%,Not enough data available,Not enough data available,Not enough data available,0,100,Not enough data available,Medicare shows only a star rating for this topic,87%,90%,93%,98,12.10%,84.30%,81.10%,79.10%,77.20%
H5995,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0:19,93%,0,Not enough data available,Not enough data available,0.1,100,3%,Medicare shows only a star rating for this topic,Not enough data available,83%,90%,97,17.20%,81.20%,77.70%,76.80%,78.60%
H6132,Local CCP,"SELECT HEALTH OF SOUTH CAROLINA, INC.",First Choice VIP Care,Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6169,PFFS,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Universal American Corp.,0:25,91%,1.1,Not enough data available,95%,0.52,100,26%,Not enough data available,Not enough data available,81%,Not enough data available,Not enough data available,9.50%,84.00%,70.20%,68.90%,64.60%
H6178,Local CCP,CARESOURCE,CareSource,CareSource Management Group Co.,0:38,80%,10.4,67%,Not enough data available,0.87,100,17%,Medicare shows only a star rating for this topic,80%,82%,87%,98,13.10%,87.30%,63.40%,61.30%,58.60%
H6181,Local CCP,"AMERIGROUP NEW YORK, LLC",HealthPlus Amerigroup,AMERIGROUP Corporation,0:17,75%,30.2,Not enough data available,92%,0.65,80,24%,Medicare shows only a star rating for this topic,Not enough data available,83%,85%,99,6.10%,91.30%,69.70%,64.00%,53.90%
H6306,Local CCP,FIRSTCAROLINACARE INSURANCE COMPANY,FirstCarolinaCare Insurance Company,"FirstHealth of the Carolinas, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6328,Local CCP,"CARE N' CARE INSURANCE COMPANY, INC.",Care N' Care Health Plan,North Texas Specialty Physicians,0:25,79%,0,Not enough data available,97%,0.43,100,7%,Medicare shows only a star rating for this topic,90%,88%,93%,99,10.70%,84.90%,76.50%,78.20%,71.00%
H6360,1876 Cost,KAISER FOUNDATION HP OF OHIO,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",Plan not required to report measure,Plan not required to report measure,0,Not enough data available,88%,0.2,80,4%,Medicare shows only a star rating for this topic,90%,91%,95%,99,4.40%,83.30%,80.50%,81.70%,75.60%
H6411,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:08,97%,1.6,Not enough data available,97%,0.64,67,12%,Medicare shows only a star rating for this topic,83%,85%,89%,98,7.20%,88.80%,71.90%,73.70%,69.40%
H6528,Local CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Care Improvement Plus,"UnitedHealth Group, Inc.",0:08,91%,10.9,Not enough data available,92%,0.77,100,29%,Not enough data available,Not enough data available,85%,92%,99,7.00%,74.40%,Not enough data available,57.30%,53.40%
H6609,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0.9,86%,93%,0.11,67,6%,Medicare shows only a star rating for this topic,82%,85%,90%,97,6.10%,86.00%,82.30%,81.60%,78.20%
H6622,Local CCP,HUMANA WISCONSINHEALTH ORGANIZATION INSURANCE CORP,Humana WisconsinHealth Organization Insurance Corp,Humana Inc.,0:09,97%,6.6,Not enough data available,96%,0.26,67,5%,Not enough data available,83%,88%,91%,97,4.50%,82.30%,85.30%,84.90%,79.50%
H6642,Local CCP,"UNIVERSAL HMO OF TEXAS, INC.","Universal HMO of Texas, Inc.","Universal Health Care Group, Inc.",0:08,48%,0,Not enough data available,80%,1.44,19,22%,Medicare shows only a star rating for this topic,Not enough data available,82%,89%,99,7.40%,88.40%,67.00%,66.10%,58.30%
H6705,Local CCP,"UNIVERSAL HEALTH CARE OF NEVADA, INC.","Universal Health Care of Nevada, Inc.","Universal Health Care Group, Inc.",0:07,48%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,19,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,2.50%,87.10%,57.90%,58.90%,48.50%
H6743,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0:08,90%,0,Not enough data available,100%,0.11,80,10%,Not enough data available,87%,85%,94%,99,7.20%,81.10%,72.90%,74.80%,68.50%
H6786,Local CCP,"ANTHEM HEALTH PLANS OF MAINE, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6801,Local CCP,"AHS - TULSA OKLAHOMA HEALTH PLAN, INC",Lovelace Medicare Plan,Ardent Health Services.,1:03,88%,Not enough data available,Not enough data available,100%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H6815,Local CCP,HEALTH NET HEALTH PLAN OF OREGON,"Health Net Health Plan of Oregon, Inc.","Health Net, Inc.",0:19,90%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,13.80%,Not enough data available,Not enough data available,Not enough data available,75.00%
H6864,Local CCP,"GUILDNET, INC.",GuildNet,Jewish Guild for the Blind,0:19,64%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,99,10.20%,85.10%,76.30%,74.60%,64.70%
H6881,Local CCP,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",America's 1st Choice Insurance Company of NC,"America's 1st Choice Holdings of N.C., LLC",0:12,93%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,98,5.60%,88.80%,Not enough data available,65.50%,61.30%
H6900,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:11,97%,0,Not enough data available,95%,0.7,67,15%,Medicare shows only a star rating for this topic,80%,86%,91%,98,5.20%,82.60%,80.30%,80.20%,75.80%
H6923,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0:42,89%,0,Not enough data available,Not enough data available,1.15,40,24%,Medicare shows only a star rating for this topic,Not enough data available,Not enough data available,Not enough data available,98,3.20%,82.10%,66.30%,71.80%,71.00%
H6952,Local CCP,"UNITEDHEALTHCARE COMMUNITY PLAN, INC",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0:13,95%,0,Not enough data available,Not enough data available,0.55,12,15%,Medicare shows only a star rating for this topic,Not enough data available,87%,89%,99,14.80%,85.80%,69.00%,69.20%,63.00%
H6972,Local CCP,"ARKANSAS COMMUNITY CARE, INC.",Arkansas Community Care/ Texarkana Community Care,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7002,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0:09,97%,0,Not enough data available,93%,0.36,67,12%,Medicare shows only a star rating for this topic,87%,86%,93%,97,12.50%,83.30%,71.60%,73.70%,66.40%
H7006,Local CCP,ATRIO HEALTH PLANS,ATRIO Health Plans,ATRIO Health Plans,0:19,93%,0,Not enough data available,100%,0.12,80,5%,Medicare shows only a star rating for this topic,89%,87%,94%,99,9.10%,82.00%,83.00%,80.80%,78.10%
