Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,Part D,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy- DMC10,Access,,,Call Center,,,Drug Pricing and Patient Safety,,,Plan Finder
H5928,CARE1ST HEALTH PLAN,Care1st Health Plan,Local CCP,Not enough data available to calculate measure,83%,31%,84%,87%,51%,38%,89%,0:28,90%,0.00%,Not measured,95.45%,3.05%,0:28,74.00%,5.8%,1.5%,99.20%,100.00%
H5932,"GATEWAY HEALTH PLAN, INC.",Gateway Health Plan,Local CCP,41%,78%,46%,92%,90%,55%,27%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,Not measured,Not measured,Not measured,Not measured,7.6%,1.0%,99.80%,100.00%
H5938,CAPITAL HEALTH PLAN,Blue Cross and Blue Shield of Florida,Local CCP,87%,91%,45%,89%,94%,86%,57%,90%,0:11,98%,Not measured,Not measured,100.00%,0.89%,0:11,94.00%,7.3%,1.5%,99.40%,100.00%
H5943,SCAN HEALTH PLAN,SCAN Health Plan,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.5%,0.0%,99.70%,100.00%
H5948,"ARTA MEDICARE HEALTH PLAN, INC.","ARTA MEDICARE HEALTH PLAN, INC.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,1:18,92%,Not measured,Not measured,Not measured,0.00%,1:00,85.00%,6.2%,0.8%,99.60%,100.00%
H5950,AETNA HEALTH INC.,Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,0.0%,0.0%,100.00%,100.00%
H5969,ALOHACARE,AlohaCare,Local CCP,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,54%,Not enough data available to calculate measure,88%,0:12,79%,Not measured,Not measured,Not measured,1.68%,0:12,72.00%,5.9%,0.0%,99.60%,100.00%
H5970,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,89%,0:47,96%,Not measured,Not measured,100.00%,3.49%,0:47,96.00%,6.1%,1.9%,98.50%,92.31%
H5980,"FIDELIS SECURECARE OF TEXAS, INC.",Fidelis SecureCare,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,11.0%,0.0%,99.90%,100.00%
H5985,ABRAZO ADVANTAGE HEALTH PLAN,Vanguard Health Systems,Local CCP,24%,86%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,62%,39%,89%,0:16,95%,Not measured,Not measured,0.00%,0.00%,0:16,87.00%,7.7%,1.0%,83.10%,100.00%
H5989,COMPREHENSIVE CARE MANAGEMENT CORP.,Bethco Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:26,91%,Not measured,Not measured,Not measured,2.52%,0:26,79.00%,2.8%,2.6%,99.70%,100.00%
H5991,"AFFINITY HEALTH PLAN, INC.",Affinity Health Plan,Local CCP,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,77%,65%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.3%,0.5%,99.70%,100.00%
H5992,"SENIOR WHOLE HEALTH, LLC","Senior Whole Health, LLC",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,62%,Plan too small to be measured,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.6%,0.5%,99.10%,100.00%
H5995,"MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.","Marion Polk Community Health Plan, LLC",Local CCP,73%,68%,61%,Not enough data available to calculate measure,91%,61%,18%,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,9.6%,2.4%,99.70%,100.00%
H5998,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",Local CCP,19%,83%,50%,Not enough data available to calculate measure,84%,42%,Not enough data available to calculate measure,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,5.2%,0.1%,99.70%,100.00%
H6050,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",1876 Cost,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H6052,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",1876 Cost,Not enough data available to calculate measure,80%,70%,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%
H6169,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,PFFS,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,Not measured,Not measured,99.40%,100.00%
H6178,CARESOURCE,CareSource,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,46%,Plan too small to be measured,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,6.6%,0.0%,99.60%,100.00%
H6181,"AMERIGROUP NEW YORK, LLC",AMERIGROUP Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:36,95%,Not measured,Not measured,Not measured,2.45%,0:36,84.00%,5.3%,1.9%,99.80%,100.00%
H6264,"HEALTHPLUS PHSP, INC.",Lutheran Medical Center,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,55%,Plan too small to be measured,Not enough data available to calculate measure,0:38,87%,Not measured,Not measured,Not measured,1.67%,1:09,75.00%,3.2%,0.4%,99.80%,100.00%
H6328,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,Local CCP,Not enough data available to calculate measure,61%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,87%,Not enough data available to calculate measure,91%,0:15,96%,Not measured,Not measured,Not measured,0.00%,0:11,81.00%,6.2%,0.4%,98.50%,100.00%
H6360,KAISER FOUNDATION HP OF OHIO,"Kaiser Foundation Health Plan, Inc.",1876 Cost,71%,71%,53%,87%,94%,64%,50%,90%,Not enough data available to calculate measure,Not enough data available to calculate measure,100.00%,100.00%,100.00%,Not measured,Not measured,Not measured,4.3%,1.4%,99.70%,100.00%
H6411,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,88%,72%,Not enough data available to calculate measure,90%,0:50,96%,100.00%,Not measured,88.89%,4.07%,0:50,96.00%,5.5%,1.5%,99.90%,92.31%
H6528,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,XLHealth Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:18,91%,Not measured,Not measured,Not measured,0.45%,0:40,80.00%,8.9%,0.0%,98.70%,100.00%
H6609,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,53%,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,0:49,96%,100.00%,75.00%,97.37%,3.77%,0:49,96.00%,5.2%,1.0%,96.10%,92.31%
H6622,HUMANA WISCONSINHEALTH ORGANIZATION INSURANCE CORP,Humana Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,96.00%,3.77%,0:49,96.00%,Not measured,Not measured,99.90%,92.31%
H6642,"UNIVERSAL HMO OF TEXAS, INC.","Universal Health Care Group, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,0:35,94%,Not measured,Not measured,Not measured,0.00%,0:31,82.00%,5.4%,1.7%,99.20%,100.00%
H6705,"UNIVERSAL HEALTH CARE OF NEVADA, INC.","Universal Health Care Group, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,Not measured,0.00%,0:34,82.00%,Not measured,Not measured,85.70%,100.00%
H6743,ATRIO HEALTH PLANS,ATRIO Health Plans,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,88.24%,0.00%,0:14,91.00%,Not measured,Not measured,97.70%,100.00%
H6815,HEALTH NET HEALTH PLAN OF OREGON,"Health Net, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,100.00%,100.00%
H6864,"GUILDNET, INC.",Jewish Guild for the Blind,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,7.3%,0.0%,100.00%,100.00%
H6881,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America?s 1st Choice Insurance Company of NC, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not measured,Not measured,Not measured,1.82%,0:17,86.00%,Not measured,Not measured,99.20%,100.00%
H6900,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,73%,Not enough data available to calculate measure,91%,0:47,96%,Not measured,Not measured,96.97%,3.49%,0:47,96.00%,4.4%,0.7%,99.80%,92.31%
H6923,AETNA HEALTH,Aetna Inc.,Local CCP,Not enough data available to calculate measure,78%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,77%,Not enough data available to calculate measure,89%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,12.5%,3.6%,99.80%,100.00%
H6952,"UNITEDHEALTHCARE OF THE GREAT LAKES HLTH PLAN, INC","UnitedHealth Group, Inc.",Local CCP,Not enough data available to calculate measure,79%,Not enough data available to calculate measure,Not enough data available to calculate measure,79%,55%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,100.00%,Not measured,Not measured,Not measured,5.6%,0.2%,99.60%,100.00%
H7002,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available to calculate measure,97%,Not enough data available to calculate measure,Not enough data available to calculate measure,91%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,0:49,96%,Not measured,Not measured,100.00%,3.77%,0:49,96.00%,11.4%,0.9%,100.00%,92.31%
H7006,"MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.","Marion Polk Community Health Plan, LLC",Local CCP,Not enough data available to calculate measure,68%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available to calculate measure,Not enough data available to calculate measure,89%,0:20,95%,Not measured,Not measured,0.00%,0.00%,0:20,91.00%,9.1%,2.8%,97.80%,100.00%
H7015,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.","HF Management Services, LLC",Local CCP,48%,95%,Not enough data available to calculate measure,Not enough data available to calculate measure,92%,59%,Not enough data available to calculate measure,N/A,0:28,92%,Not measured,Not measured,Not measured,0.00%,0:28,74.00%,3.9%,1.3%,99.10%,100.00%
H7086,COMMUNITY HEALTH GROUP,Community Health Group,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,45%,Plan too small to be measured,N/A,Not enough data available to calculate measure,Not enough data available to calculate measure,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,3.0%,0.5%,100.00%,100.00%
H7149,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",Coventry Health Care Inc.,Local CCP,Not enough data available to calculate measure,79%,Not enough data available to calculate measure,Not enough data available to calculate measure,90%,72%,Not enough data available to calculate measure,91%,0:19,94%,Not measured,Not measured,100.00%,0.00%,0:28,84.00%,8.1%,0.0%,99.20%,100.00%
