2014 Star View: Medicare Part D Report Card Master Table,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,DD1: Drug Plan Customer Service,,,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",,,,DD3: Member Experience with the Drug Plan,,DD4: Patient Safety and Accuracy of Drug Pricing,,,,,
H6859,Local CCP,"Humana Medical Plan of Pennsylvania, Inc.","HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6864,Local CCP,GuildNet,"GUILDNET, INC.",Jewish Guild Healthcare,1,Not enough data available,No data available,Not enough data available,4,Not enough data available,Not enough data available,No data available,No data available,4,4,2,5,4,3
H6870,Demo,Advantage by Superior HealthPlan,"SUPERIOR HEALTH PLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6881,Local CCP,America's 1st Choice Insurance Company of NC,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",3,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,4,4,Not enough data available,Not enough data available,1,1
H6923,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,Not enough data available,No data available,1,1,Not enough data available,3,1,2,4,5,2,3,2,4
H6951,Local CCP,Trillium Advantage,TRILLIUM COMMUNITY HEALTH PLAN,"Agate Resources,  Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6952,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE COMMUNITY PLAN, INC","UnitedHealth Group, Inc.",5,2,4,1,1,3,2,4,4,4,1,4,2,1,1
H6972,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,Plan too new to be measured,Not enough data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6974,Demo,"Alphacare of New York, Inc.","ALPHACARE OF NEW YORK, INC.","AlphaCare Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6988,Local CCP,Advantage Care,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7002,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,5,No data available,2,5,4,3,5,3,3,5,4,3,3,3
H7006,Local CCP,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,4,5,Not enough data available,3,2,4,3,5,4,4,4,4,5,5,5
H7015,Local CCP,Healthfirst NJ Medicare Plan,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.","HF Management Services, LLC",1,5,Not enough data available,2,2,5,5,4,4,4,5,5,1,1,1
H7020,Local CCP,Cigna-Healthspring,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7078,Demo,Molina Healthcare of Virginia,"MOLINA HEALTHCARE OF VIRGINIA, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7086,Local CCP,Community Health Group,COMMUNITY HEALTH GROUP,Community Health Group,1,5,Not enough data available,3,4,3,5,5,3,4,3,5,5,3,3
H7149,Local CCP,Coventry Health Care,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",Aetna Inc.,3,5,No data available,4,4,2,4,2,4,4,3,2,5,4,5
H7172,Demo,"Aetna Better Health of Ohio, MyCare Ohio","AETNA BETTER HEALTH, INC. (OH)",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7173,Local CCP,Advantage by Peach State,"PEACH STATE HEALTH PLAN, INC.",Centene Corporation,3,Not enough data available,No data available,Not enough data available,1,Not enough data available,Not enough data available,No data available,No data available,4,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available
H7185,Demo,Carilion Clinic Medicare Medicaid Plan,"CARILION CLINIC MEDICARE RESOURCES, LLC","Carilion Services, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7187,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",3,5,5,1,1,2,4,4,5,4,3,3,4,3,3
H7188,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,5,1,Not enough data available,3,5,1,3,3,4,4,5,2,4,4,4
H7200,Local CCP,Amerigroup,"AMERIGROUP TENNESSEE, INC.","WellPoint, Inc.",2,1,No data available,1,3,3,4,4,4,4,4,5,2,2,3
H7220,Local CCP,Indiana University Health Plans - Medicare,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health,2,1,No data available,5,1,5,3,4,4,Not enough data available,5,3,5,5,4
H7245,Local CCP,Premera Blue Cross Medicare Advantage,PREMERA BLUE CROSS,Premera,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7292,Local CCP,Alameda Alliance for Health,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),Alameda Alliance for Health,2,5,No data available,3,2,5,5,4,2,4,1,5,4,4,4
H7301,Local CCP,"Coventry Health Care of Illinois, Inc.","COVENTRY HEALTH CARE OF ILLINOIS, INC.",Aetna Inc.,3,5,Not enough data available,5,4,5,5,4,4,4,3,3,5,5,5
H7306,Local CCP,Coventry Health Care,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Aetna Inc.,3,5,Not enough data available,1,4,2,4,2,2,4,3,5,2,2,3
H7419,Demo,Network Health Unify,"NETWORK HEALTH, LLC","Tufts Associated HMO, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7475,Local CCP,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",1,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,3,2,1,Not enough data available,5,5
H7542,Demo,Advicare,"ADVICARE, CORP.","Spartanburg Regional Health Services District, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7678,Local CCP,"Molina Healthcare of Texas, Inc.","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare, Inc.,",1,5,No data available,1,5,2,Not enough data available,No data available,No data available,4,5,5,1,1,2
H7728,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.","WellPoint, Inc.",4,Plan too new to be measured,No data available,2,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7787,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,2,No data available,1,4,1,3,4,3,4,3,4,2,2,2
H7811,Local CCP,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,1,Plan too new to be measured,No data available,1,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7833,Demo,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC","UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, LLC","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7844,Demo,Molina Healthcare of Michigan,"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7885,Demo,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7890,Demo,Santa Clara Family Health Plan Cal MediConnect,SANTA CLARA COUNTY HEALTH AUTHORITY,SANTA CLARA COUNTY HEALTH AUTHORITY,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7908,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,5,Not enough data available,No data available,1,1,Not enough data available,Not enough data available,No data available,No data available,4,5,3,1,3,2
H7917,Local CCP,BlueCross BlueShield of Tennessee,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,1,1,Not enough data available,3,4,5,4,4,4,4,4,2,4,4,3
H7949,Local CCP,SecureHorizons by UnitedHealthcare,"PACIFICARE OF NEVADA, INC.","UnitedHealth Group, Inc.",3,5,No data available,1,1,3,1,4,3,4,4,5,4,4,5
H7971,Local CCP,Horizon Blue Cross Blue Shield of New Jersey,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",3,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8016,Demo,CalOptima,ORANGE COUNTY HEALTH AUTHORITY,Orange County Health Authority,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8026,Demo,CoventryCares of Michigan Advantra,"COVENTRY CARES OF MICHIGAN, INC.",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8029,Demo,"Elderplan, Inc.","ELDERPLAN, INC.","Elderplan, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8046,Demo,Molina Healthcare of Illinois,"MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8050,Local CCP,Carilion Clinic Medicare Health Plan,"CARILION CLINIC MEDICARE RESOURCES, LLC","Carilion Services, Inc.",2,5,Not enough data available,1,4,4,3,4,4,4,3,2,3,3,3
H8056,Demo,Aetna Better Health of New York,"AETNA BETTER HEALTH, INC. (NY)",Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8064,Local CCP,FirstCarolinaCare Insurance Company,FIRSTCAROLINACARE INSURANCE COMPANY,"FirstHealth of the Carolinas, Inc.",1,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8066,Demo,Regence Blue Shield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8091,Local CCP,ARKANSAS BLUE CROSS AND BLUE SHIELD,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,4,Not enough data available,No data available,Not enough data available,5,Not enough data available,Not enough data available,No data available,No data available,3,4,Not enough data available,Not enough data available,2,1
