Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary  Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievances - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan - DMC15,Timely Receipt of Case Files - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Call Center – Information Accuracy - DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Atypical Antipsychotic Rate - DMD13
H6952,"UNITEDHEALTHCARE COMMUNITY PLAN, INC","UnitedHealth Group, Inc.",Local CCP,40%,85%,Not enough data available,Not enough data available,79%,60%,Not enough data available,Not enough data available,0:16,Plan not required to report measure,45%,94%,11.39,11.2%,0.00%,No data available,No data available,0.00%,0:16,Plan not required to report measure,6.3%,1.0%,99.30%,100%,98,11.39,0.5%,No Data Available
H6972,"ARKANSAS COMMUNITY CARE, INC.",Humana Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7002,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,Not enough data available,98%,Not enough data available,Not enough data available,90%,72%,Not enough data available,91%,0:40,89%,67%,97%,1.16,Plan not required to report measure,0.41%,No data available,No data available,0.41%,0:40,87.13%,8.7%,1.7%,100.00%,100%,99,1.16,1.5%,No Data Available
H7006,ATRIO HEALTH PLANS,ATRIO Health Plans,Local CCP,Not enough data available,0 - Plan reported a Biased Rate,Not enough data available,Not enough data available,93%,78%,Not enough data available,89%,0:10,86%,81%,98%,0.92,Plan not required to report measure,0.83%,No data available,No data available,0.83%,0:10,86.14%,6.0%,2.2%,95.70%,100%,99,0.92,1.3%,No Data Available
H7015,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.","HF Management Services, LLC",Local CCP,33%,91%,36%,Not enough data available,90%,67%,53%,93%,0:35,88%,43%,88%,2.34,Data issues found,0.00%,No data available,No data available,0.00%,0:35,78.29%,4.8%,0.8%,99.90%,100%,99,2.34,6.6%,No Data Available
H7086,COMMUNITY HEALTH GROUP,Community Health Group,Local CCP,,,,,,49%,,90%,0:01,Plan not required to report measure,56%,,0.00,48.7%,0.00%,No data available,No data available,0.00%,0:01,Plan not required to report measure,2.5%,0.6%,79.50%,92%,99,0.00,16.0%,No data available
H7149,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",Coventry Health Care Inc.,Local CCP,Not enough data available,80%,Not enough data available,Not enough data available,90%,72%,30%,91%,0:26,87%,72%,93%,0.81,Plan not required to report measure,1.25%,No data available,No data available,0.00%,0:14,89.30%,9.0%,1.6%,99.40%,100%,99,0.81,No Data Available,No Data Available
H7173,"PEACH STATE HEALTH PLAN, INC.",Centene Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:15,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,Not enough data available,0.00%,No data available,No data available,0.00%,0:15,Plan not required to report measure,No Data Available,No Data Available,99.30%,92%,No Data Available,No data available,No data available,No data available
H7179,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",Humana Inc.,Local CCP,55%,81%,Not enough data available,Not enough data available,88%,53%,30%,91%,0:45,86%,64%,89%,Not enough data available,14.4%,0.00%,No data available,No data available,0.00%,0:45,72.14%,10.1%,1.5%,100.00%,100%,No Data Available,No data available,55.1%,27.78%
H7187,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,56%,86%,69%,83%,92%,65%,30%,91%,0:24,86%,65%,94%,7.48,41.1%,0.19%,100.00%,No data available,0.19%,0:24,74.60%,6.5%,0.7%,99.90%,100%,99,7.48,0.9%,33.33%
H7188,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,52%,98%,62%,Not enough data available,88%,66%,23%,90%,0:40,89%,63%,96%,1.43,Plan not required to report measure,0.41%,100.00%,No data available,0.41%,0:40,87.13%,9.3%,1.6%,99.90%,100%,99,1.43,2.3%,5.88%
H7200,"AMERIGROUP TENNESSEE, INC.",AMERIGROUP Corporation,Local CCP,49%,89%,Not enough data available,Not enough data available,91%,53%,32%,89%,0:29,81%,55%,90%,4.55,69.7%,2.22%,0.00%,100.00%,2.22%,0:29,78.09%,6.6%,1.1%,99.80%,100%,98,4.55,12.6%,No Data Available
H7220,"INDIANA UNIVERSITY HEALTH PLANS, INC.",Indiana University Health,Local CCP,Not enough data available,79%,89%,96%,90%,78%,Not enough data available,93%,0:17,92%,88%,97%,0.45,Plan not required to report measure,0.00%,100.00%,No data available,0.00%,0:10,67.25%,6.7%,0.6%,99.70%,100%,No Data Available,0.45,17.5%,22.22%
H7281,"BRAVO HEALTH PENNSYLVANIA, INC.",CIGNA,Local CCP,Not enough data available,87%,Not enough data available,Not enough data available,90%,62%,Not enough data available,89%,0:37,83%,64%,94%,1.92,19.6%,1.35%,No data available,No data available,1.35%,0:37,75.00%,5.1%,0.3%,99.60%,100%,98,1.92,0.0%,19.30%
H7292,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),Alameda Alliance for Health,Local CCP,69%,73%,39%,Not enough data available,88%,62%,Not enough data available,Not enough data available,1:02,Plan not required to report measure,56%,96%,3.65,Data issues found,0.83%,No data available,No data available,0.83%,1:02,Plan not required to report measure,6.2%,1.8%,85.50%,92%,99,3.65,8.2%,No Data Available
H7301,"COVENTRY HEALTH CARE OF ILLINOIS, INC.",Coventry Health Care Inc.,Local CCP,Not enough data available,80%,66%,85%,90%,71%,Not enough data available,89%,0:14,87%,68%,94%,0.70,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:21,89.30%,7.1%,1.1%,99.40%,100%,99,0.70,No Data Available,35.14%
H7306,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,Coventry Health Care Inc.,Local CCP,Not enough data available,80%,Not enough data available,Not enough data available,90%,72%,Not enough data available,89%,0:11,87%,62%,92%,2.20,Plan not required to report measure,0.85%,No data available,No data available,0.00%,0:18,89.30%,6.4%,1.0%,99.20%,100%,99,2.20,No Data Available,No Data Available
H7352,"UNIVERSITY CARE ADVANTAGE, L.L.C","UA Healthcare, Inc.",Local CCP,22%,90%,Not enough data available,Not enough data available,90%,71%,26%,Not enough data available,0:09,Plan not required to report measure,58%,94%,2.66,35.9%,0.83%,No data available,No data available,0.83%,0:09,Plan not required to report measure,5.1%,1.6%,99.60%,100%,98,2.66,13.3%,No Data Available
H7475,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:34,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,54.4%,0.83%,No data available,No data available,0.83%,0:34,Plan not required to report measure,7.3%,No Data Available,98.50%,96%,91,No data available,No Data Available,No Data Available
H7526,MEDICA HEALTH PLANS,Medica Holding Company,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:38,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,Data issues found,0.00%,No data available,No data available,0.00%,0:38,Plan not required to report measure,5.7%,1.7%,100.00%,100%,99,No data available,4.8%,9.09%
H7678,"MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare, Inc.,",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:11,85%,Not enough data available,Plan too small to be measured,Not enough data available,2.1%,1.67%,No data available,No data available,1.67%,0:11,76.16%,3.9%,1.3%,99.80%,100%,99,No data available,9.7%,No Data Available
H7728,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.","WellPoint, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7731,"MD CARE, INC.",Humana Inc.,Local CCP,17%,61%,62%,79%,82%,63%,7%,Not enough data available,0:02,84%,63%,91%,1.19,9.2%,0.00%,No data available,100.00%,0.83%,0:11,76.44%,7.7%,1.3%,99.70%,100%,100,1.19,97.9%,No Data Available
H7787,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,Local CCP,43%,80%,67%,Not enough data available,92%,78%,Not enough data available,91%,0:04,85%,72%,95%,11.06,Plan not required to report measure,0.21%,100.00%,100.00%,0.21%,0:04,74.11%,6.3%,1.3%,99.30%,100%,99,11.06,14.3%,No Data Available
H7811,ARCADIAN HEALTH PLAN,Humana Inc.,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7908,"AETNA HEALTH, INC. (PA)",Aetna Inc.,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,73%,Plan too small to be measured,Not enough data available,0:23,90%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.79%,No data available,No data available,0.79%,0:23,83.60%,6.1%,1.9%,99.50%,100%,99,No data available,No Data Available,No Data Available
H7917,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,Local CCP,65%,74%,55%,85%,94%,84%,48%,90%,1:29,90%,72%,98%,1.22,Plan not required to report measure,1.06%,100.00%,100.00%,1.06%,1:29,75.74%,9.3%,1.9%,99.80%,100%,99,1.22,No data available,26.98%
H7949,"PACIFICARE OF NEVADA, INC.","UnitedHealth Group, Inc.",Local CCP,Not enough data available,86%,Not enough data available,Not enough data available,95%,84%,63%,87%,0:24,86%,74%,95%,20.05,Plan not required to report measure,0.00%,No data available,No data available,0.00%,0:24,74.60%,8.7%,0.8%,99.70%,100%,101,20.05,2.9%,No Data Available
H7971,"HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Healthcare Services, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8050,"CARILION CLINIC MEDICARE RESOURCES, LLC","Carilion Services, Inc.",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:23,84%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,1.67%,0.00%,No data available,0.00%,0:36,79.31%,6.2%,1.0%,99.80%,96%,99,No data available,4.5%,No data available
H8064,FIRSTCAROLINACARE INSURANCE COMPANY,"FirstHealth of the Carolinas, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8091,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:10,88%,Not enough data available,Plan too small to be measured,Not enough data available,Plan not required to report measure,0.83%,No data available,No data available,0.83%,0:10,93.43%,No Data Available,No Data Available,100.00%,92%,99,No data available,No Data Available,No data available
H8098,UNIVERSAL HEALTH CARE INSURANCE COMPANY,"Universal Health Care Group, Inc.",PFFS,47%,89%,57%,78%,89%,Not enough data available,35%,91%,0:22,88%,64%,92%,Not enough data available,Plan not required to report measure,0.26%,66.67%,100.00%,0.00%,0:31,66.29%,6.2%,1.0%,99.90%,96%,100,No data available,3.3%,32.79%
H8130,"MOLINA HEALTHCARE OF FLORIDA, INC.","Molina Healthcare, Inc.,",Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:11,85%,Not enough data available,Plan too small to be measured,Not enough data available,2.9%,0.00%,No data available,No data available,0.00%,0:11,76.16%,5.3%,0.7%,99.70%,100%,99,No data available,16.5%,No data available
H8145,HUMANA INSURANCE COMPANY,Humana Inc.,PFFS,55%,98%,58%,89%,90%,Not enough data available,31%,92%,0:40,89%,76%,95%,0.91,Plan not required to report measure,0.41%,92.31%,100.00%,0.41%,0:40,87.31%,7.2%,1.0%,99.90%,100%,99,0.91,3.5%,23.58%
H8189,"MANAGED HEALTH SERVICES, WISCONSIN",Centene Corporation,Local CCP,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Not enough data available,0:31,Plan not required to report measure,Not enough data available,Plan too small to be measured,Not enough data available,100.0%,0.00%,No data available,No data available,0.00%,0:31,Plan not required to report measure,No Data Available,No Data Available,99.70%,92%,No Data Available,No data available,No data available,No data available
