CY2014 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Contract Name,Parent Organization,Organization Type,Part C,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring for Patients Taking Long Term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Call Center – Information Accuracy - DMC10,Pneumonia Vaccine - DMC11,Access to Primary Care Doctor Visits - DMC12,Grievance Rate - DMC13,Special Needs Plan (SNP) Care Management - DMC14,Calls Disconnected When Customer Calls Health Plan  - DMC15,Pharmacotherapy Management of COPD Exacerbation - Systemic Corticosteroid - DMC16,Pharmacotherapy Management of COPD Exacerbation - Bronchodilator - DMC17,Initiation of Alcohol or other Drug Treatment - DMC18,Engagement of Alcohol or other Drug Treatment - DMC19,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time- DMD04,Call Center – Information Accuracy- DMD05,Drug-Drug Interactions - DMD06,Diabetes Medication Dosing - DMD07,Completeness of the Drug Plan's Information on Members Who Need Extra Help - DMD08,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD09,MPF - Stability - DMD10,Grievance Rate - DMD11,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD12,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD13,Getting Information from Drug Plan - DMD14,Call Center—Pharmacy Hold Time measures - DMD15,Plan Submitted Higher Prices for Display on MPF - DMD16,Enrollment Timeliness - DME01
H5141,CAREPOINT INSURANCE COMPANY,IJKG Opco LLC,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,99%
H5151,HEALTH PLAN OF THE UPPER OHIO VALLEY,Health Plan of the Upper Ohio Valley,Local CCP,Not enough data available,96%,66%,92%,90%,70%,38%,91%,0:22,90%,68%,97%,0.82,Plan not required to report measure,0.00%,62%,79%,51%,7%,No data available,No data available,0.00%,0:22,89%,8.7%,0.40%,99.80%,100%,102,0.82,2.4%,19.08%,Not enough data available,0:09,96,96%
H5172,COMMUNITY HEALTH GROUP,Community Health Group,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5190,"SUNSHINE STATE HEALTH PLAN, INC.",Centene Corporation,Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available
H5207,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",Local CCP,Not enough data available,CMS Found Issues with Plan’s Data,Not enough data available,Not enough data available,99%,No data available,Not enough data available,No data available,0:02,Plan not required to report measure,No data available,100%,CMS Found Issues with Plan’s Data,99.3%,0.83%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.83%,0:02,Plan not required to report measure,8.2%,3.50%,99.50%,92%,No data available,CMS Found Issues with Plan's Data,44.9%,17.65%,No data available,0:00,No data available,No data available
H5209,"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",Local CCP,Not enough data available,CMS Found Issues with Plan’s Data,Not enough data available,Not enough data available,93%,65%,37%,Not enough data available,0:43,Plan not required to report measure,82%,96%,0.00,62.4%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,50%,No data available,0.00%,0:43,Plan not required to report measure,10.5%,1.58%,99.30%,92%,98,0.00,CMS Found Issues with Plan's Data,22.73%,Not enough data available,0:00,87,No data available
H5211,"SECURITY HEALTH PLAN OF WISCONSIN, INC.",Marshfield Clinic.,Local CCP,54%,55%,69%,94%,95%,83%,41%,91%,1:16,83%,79%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,83%,87%,38%,3%,No data available,No data available,0.00%,1:16,78%,6.7%,1.82%,99.20%,96%,103,CMS Found Issues with Plan's Data,7.6%,21.53%,Not enough data available,0:09,93,88%
H5214,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,60%,95%,54%,85%,93%,76%,40%,91%,0:20,87%,65%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,1.15%,64%,77%,46%,3%,No data available,No data available,1.15%,0:20,92%,7.1%,0.99%,100.00%,100%,100,CMS Found Issues with Plan's Data,11.1%,29.03%,82%,0:11,97,96%
H5215,NETWORK HEALTH INSURANCE CORPORATION,"Ministry Health Care, Inc.",Local CCP,74%,95%,66%,87%,93%,74%,40%,92%,0:04,90%,74%,96%,CMS Found Issues with Plan’s Data,51.1%,0.00%,76%,88%,46%,2%,75%,100.00%,0.00%,0:04,88%,6.9%,1.44%,99.80%,100%,99,CMS Found Issues with Plan's Data,13.7%,15.64%,85%,0:23,97,98%
H5216,HUMANA INSURANCE COMPANY,Humana Inc.,Local CCP,70%,95%,70%,93%,92%,78%,36%,91%,0:20,87%,79%,97%,2.80,Plan not required to report measure,1.24%,77%,77%,42%,4%,100%,No data available,1.24%,0:20,92%,6.4%,0.86%,99.90%,100%,101,2.80,14.6%,13.51%,78%,0:10,97,96%
H5253,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",Local CCP,75%,76%,61%,90%,91%,76%,41%,91%,0:20,83%,79%,95%,2.53,62.2%,2.03%,78%,79%,45%,5%,100%,100.00%,2.03%,0:20,82%,7.0%,0.89%,99.80%,100%,99,2.53,2.1%,20.64%,Not enough data available,0:16,98,95%
H5256,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,"Medical Associates Clinic, P.C.",1876 Cost,Not enough data available,69%,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,71%,27%,93%,Not enough data available,Not enough data available,74%,97%,0.03,Plan not required to report measure,Not enough data available,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,94%
H5262,GUNDERSEN HEALTH PLAN,Gundersen Lutheran Health System Inc.,Local CCP,Not enough data available,89%,65%,89%,92%,84%,37%,95%,0:10,83%,82%,98%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.00%,83%,88%,47%,5%,No data available,No data available,0.00%,0:10,90%,4.9%,0.24%,99.10%,96%,99,CMS Found Issues with Plan's Data,22.3%,20.91%,Not enough data available,0:03,99,95%
H5264,"DEAN HEALTH PLAN, INC.",Dean Health Systems Inc.,1876 Cost,Not enough data available,67%,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,74%,38%,92%,Not enough data available,Not enough data available,82%,97%,0.12,Plan not required to report measure,Not enough data available,Benefit not offered by plan,Benefit not offered by plan,39%,2%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%
H5280,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5291,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Local CCP,52%,95%,69%,Not enough data available,92%,78%,45%,91%,0:20,87%,75%,95%,1.21,Plan not required to report measure,1.32%,65%,76%,40%,2%,67%,No data available,1.32%,0:20,92%,6.2%,1.08%,99.90%,100%,101,1.21,14.1%,0.00%,81%,0:10,96,94%
H5294,"SUPERIOR HEALTH PLAN, INC.",Centene Corporation,Local CCP,21%,78%,32%,Not enough data available,91%,58%,Not enough data available,Not enough data available,1:15,Plan not required to report measure,60%,93%,1.47,36.5%,1.67%,Not enough data available,Not enough data available,32%,0%,No data available,No data available,1.67%,1:15,Plan not required to report measure,5.6%,0.22%,100.00%,100%,No data available,1.47,CMS Found Issues with Plan's Data,No data available,Not enough data available,0:03,96,No data available
H5302,"COVENTRY HEALTH CARE OF GEORGIA, INC.",Aetna Inc.,Local CCP,53%,83%,66%,Not enough data available,93%,76%,36%,91%,0:12,88%,65%,96%,0.38,Plan not required to report measure,0.83%,66%,79%,36%,3%,No data available,No data available,0.00%,0:12,92%,7.5%,0.47%,99.50%,96%,100,0.38,10.5%,No data available,Not enough data available,0:09,97,100%
H5322,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Local CCP,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5355,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,Demo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5378,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Local CCP,50%,86%,73%,Not enough data available,91%,62%,28%,93%,0:14,90%,70%,93%,3.64,Plan not required to report measure,0.67%,61%,75%,59%,1%,No data available,No data available,0.67%,0:14,88%,9.0%,0.81%,99.80%,100%,99,3.64,CMS Found Issues with Plan's Data,13.16%,Not enough data available,0:20,99,100%
H5404,"UNIVERSAL HEALTH CARE, INC.","Universal Health Care Group, Inc.",Local CCP,No data available,No data available,No data available,No data available,No data available,83%,No data available,No data available,1:10,Not enough data available,No data available,No data available,No data available,No data available,0.31%,No data available,No data available,No data available,No data available,No data available,No data available,10.83%,0:31,No data available,7.0%,0.44%,99.00%,96%,100,No Data Available,No data available,8.70%,No data available,No data available,97,99%
H5410,HEALTHSPRING OF FLORIDA,CIGNA,Local CCP,80%,82%,36%,94%,99%,82%,61%,97%,0:11,84%,61%,99%,0.82,CMS Found Issues with Plan’s Data,0.58%,73%,93%,11%,0%,100%,No data available,0.58%,0:11,82%,8.3%,0.27%,99.80%,96%,98,0.82,85.4%,No data available,Not enough data available,0:08,-60,99%
H5414,"AETNA HEALTH, INC. (FL)",Aetna Inc.,Local CCP,Not enough data available,88%,Not enough data available,Not enough data available,92%,85%,44%,90%,0:19,89%,67%,97%,CMS Found Issues with Plan’s Data,Plan not required to report measure,0.38%,Not enough data available,Not enough data available,58%,8%,100%,No data available,0.38%,0:19,85%,5.5%,0.79%,100.00%,100%,101,CMS Found Issues with Plan's Data,50.7%,No data available,Not enough data available,0:10,98,98%
H5415,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,Local CCP,Not enough data available,95%,62%,Not enough data available,94%,88%,28%,89%,0:20,87%,74%,97%,1.23,Plan not required to report measure,1.15%,70%,89%,35%,2%,100%,No data available,1.15%,0:20,92%,6.9%,0.67%,99.00%,100%,100,1.23,16.6%,No data available,Not enough data available,0:11,98,97%
H5416,"ARCADIAN HEALTH PLAN, INC.",Humana Inc.,Local CCP,58%,95%,50%,87%,91%,68%,39%,91%,0:21,87%,71%,93%,1.37,18.3%,1.44%,73%,76%,37%,2%,No data available,No data available,1.44%,0:21,92%,7.0%,0.79%,99.60%,96%,99,1.37,45.8%,21.43%,84%,0:10,97,94%
H5417,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,Not enough data available,76%,Not enough data available,Not enough data available,100%,Not enough data available,Not enough data available,No data available,0:23,Plan not required to report measure,No data available,99%,0.17,95.0%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.00%,0:23,Plan not required to report measure,11.4%,0.71%,99.80%,100%,No data available,0.17,0.0%,24.77%,No data available,0:16,99,No data available
H5420,"MEDICA HEALTHCARE PLANS, INC.","UnitedHealth Group, Inc.",Local CCP,18%,50%,50%,87%,95%,87%,35%,92%,0:39,78%,48%,97%,2.46,5.7%,1.50%,42%,63%,27%,1%,33%,100.00%,1.50%,0:39,82%,7.5%,1.28%,99.70%,100%,98,2.46,CMS Found Issues with Plan's Data,63.64%,Not enough data available,0:14,91,99%
H5421,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,PFFS,43%,85%,64%,90%,90%,59%,22%,93%,0:12,90%,60%,93%,2.90,Plan not required to report measure,1.53%,63%,79%,48%,3%,100%,No data available,1.53%,0:12,88%,9.6%,1.05%,99.70%,100%,99,2.90,No data available,26.83%,Not enough data available,0:21,98,97%
H5422,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,"WellPoint, Inc.",Local CCP,Not enough data available,76%,56%,Not enough data available,93%,79%,Not enough data available,91%,0:31,88%,63%,93%,1.52,Plan not required to report measure,0.00%,Not enough data available,Not enough data available,26%,0%,No data available,No data available,0.00%,0:31,92%,5.5%,1.10%,99.60%,92%,100,1.52,11.9%,No data available,86%,0:06,97,93%
H5424,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Local CCP,79%,82%,38%,82%,90%,63%,19%,91%,0:16,83%,64%,95%,2.69,47.3%,2.83%,80%,88%,34%,4%,No data available,No data available,2.83%,0:16,82%,5.9%,0.70%,99.90%,100%,100,2.69,2.4%,18.27%,Not enough data available,0:17,99,98%
H5425,SCAN HEALTH PLAN,SCAN Health Plan,Local CCP,40%,87%,50%,88%,94%,74%,33%,91%,0:17,85%,74%,97%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,0.28%,61%,70%,13%,1%,83%,100.00%,0.28%,0:17,83%,7.1%,1.09%,99.70%,100%,95,CMS Found Issues with Plan's Data,42.3%,11.97%,85%,0:23,92,97%
H5426,"HUMANA ADVANTAGECARE PLAN, INC.",Humana Inc.,Local CCP,33%,95%,49%,85%,94%,81%,36%,90%,0:20,87%,69%,96%,1.86,6.7%,1.15%,72%,83%,28%,1%,100%,No data available,1.15%,0:20,92%,7.5%,1.26%,99.70%,100%,101,1.86,25.0%,18.75%,Not enough data available,0:11,97,98%
H5427,"FREEDOM HEALTH PLAN, INC.","America's 1st Choice Holdings of Florida, LLC",Local CCP,33%,87%,58%,91%,95%,79%,65%,89%,0:18,86%,65%,96%,3.72,64.6%,0.50%,70%,76%,21%,1%,100%,100.00%,0.50%,0:18,92%,7.9%,1.67%,100.00%,100%,100,3.72,19.2%,5.00%,88%,0:06,98,99%
