CY2011 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,
  * See next worksheet for technical notes.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Part D,,,,,,,,1/1/2009 - 12/31/2009,Part C,,,,,,,,,,,,,,
,,,Access,,,Call Center,Patient Safety,,,Plan Finder,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,,,,,,,,,,
H5832,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,Not measured,0.00%,10.69%,2.10%,59.44%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5839,Sterling Life Insurance Company,STERLING LIFE INSURANCE COMPANY (MT),Not measured,Not measured,Not measured,0.00%,6.72%,0.00%,67.77%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5850,Coventry Summit Health Plan,"COVENTRY SUMMIT HEALTH PLAN, INC.",75.00%,100.00%,85.88%,0.83%,6.84%,1.71%,51.30%,100.00%,21.83%,26.19%,72.59%,34.78%,80.49%,19.26%,,,,,,,,,,
H5852,POSITIVE HEALTHCARE PARTNERS,AIDS HEALTHCARE FOUNDATION,Not measured,Not measured,90.70%,0.83%,35.26%,0.00%,72.33%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5854,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC",Not measured,Not measured,90.50%,3.33%,5.93%,1.10%,61.91%,100.00%,22.53%,Not enough data available to calculate measure,83.09%,Not enough data available to calculate measure,Not enough data available to calculate measure,37.96%,,,,,,,,,,
H5859,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.",100.00%,100.00%,97.20%,0.83%,6.89%,1.90%,64.36%,100.00%,3.74%,64.15%,62.25%,52.54%,Not enough data available to calculate measure,44.53%,,,,,,,,,,
H5862,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC.",Not measured,Not measured,93.55%,0.00%,5.12%,2.54%,58.11%,100.00%,14.82%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H5868,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,91.12%,1.48%,6.53%,1.25%,66.57%,100.00%,16.54%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,37.50%,,,,,,,,,,
H5883,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,100.00%,Not measured,87.63%,0.00%,6.46%,1.86%,68.32%,100.00%,15.91%,68.54%,56.05%,62.61%,89.54%,51.58%,,,,,,,,,,
H5884,BlueCross BlueShield of Tennessee,BLUECROSS BLUESHIELD OF TENNESSEE,66.67%,100.00%,90.63%,0.83%,8.76%,2.17%,56.41%,100.00%,20.57%,60.00%,81.23%,56.36%,88.89%,2.55%,,,,,,,,,,
H5887,"First Medical Health Plan, Inc.","FIRST MEDICAL HEALTH PLAN, INC.",Not measured,Not measured,98.76%,0.81%,5.80%,1.80%,25.85%,100.00%,27.76%,Not enough data available to calculate measure,82.53%,Not enough data available to calculate measure,Not enough data available to calculate measure,0.00%,,,,,,,,,,
H5895,Contra Costa Health Plan,CONTRA COSTA CO MED SVCS DBA CONTRA COSTA HEALTH,Not measured,Not measured,81.25%,0.00%,9.88%,4.20%,69.83%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5896,Amerigroup Community Care,"AMERIGROUP MARYLAND, INC.",Not measured,Not measured,94.61%,1.67%,7.31%,0.91%,45.48%,100.00%,20.00%,56.76%,73.01%,Not enough data available to calculate measure,Not enough data available to calculate measure,5.23%,,,,,,,,,,
H5909,Universal American,AMERICAN PROGRESSIVE LIFE AND HEALTH OF NEW YORK,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5918,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,10.16%,3.27%,65.04%,100.00%,,,,,,,,,,,,,,,,
H5926,Molina Healthcare of Michigan,MOLINA HEALTHCARE OF MICHIGAN,Not measured,Not measured,81.40%,1.67%,5.41%,1.63%,54.09%,100.00%,16.70%,20.97%,84.74%,Not enough data available to calculate measure,Not enough data available to calculate measure,59.26%,,,,,,,,,,
H5928,Care1st Medicare Advantage Plan,CARE1ST HEALTH PLAN,Not measured,Not measured,92.09%,0.00%,6.19%,1.28%,46.75%,100.00%,24.88%,Not enough data available to calculate measure,80.12%,19.15%,88.24%,50.85%,,,,,,,,,,
H5932,Gateway Health Plan Medicare Assured,"GATEWAY HEALTH PLAN, INC.",Not measured,Not measured,99.44%,0.00%,8.21%,0.95%,62.69%,100.00%,4.69%,40.44%,77.86%,45.45%,88.24%,49.64%,,,,,,,,,,
H5938,Capital Health Plan,CAPITAL HEALTH PLAN,Not measured,Not measured,95.80%,0.00%,8.43%,1.52%,56.22%,100.00%,1.57%,Not enough data available to calculate measure,87.48%,48.39%,90.63%,82.48%,,,,,,,,,,
H5943,VillageHealth,SCAN HEALTH PLAN,Not measured,Not measured,85.56%,Not measured,9.35%,0.00%,49.67%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5948,Arta Medicare Health Plan,"ARTA MEDICARE HEALTH PLAN, INC.",Not measured,Not measured,87.29%,0.00%,6.07%,0.86%,50.87%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5950,Aetna Medicare,AETNA HEALTH INC.,Not measured,Not measured,Not measured,0.00%,0.00%,7.73%,52.63%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5962,"Fresenius Medical Care Health Plan, Inc. - Texas",STERLING LIFE INSURANCE COMPANY,,,,,,,,Not measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5969,AlohaCare,ALOHACARE,Not measured,Not measured,100.00%,0.00%,2.08%,0.18%,41.95%,100.00%,14.77%,Not enough data available to calculate measure,92.10%,Not enough data available to calculate measure,Not enough data available to calculate measure,29.68%,,,,,,,,,,
H5970,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,100.00%,100.00%,88.37%,1.54%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H5980,"Fidelis SecureCare of Texas, Inc.","FIDELIS SECURECARE OF TEXAS, INC.",Not measured,Not measured,Not measured,0.00%,7.95%,0.00%,72.29%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5985,Abrazo Advantage Health Plan,ABRAZO ADVANTAGE HEALTH PLAN,Not measured,Not measured,62.80%,2.50%,7.14%,1.55%,46.65%,100.00%,16.98%,19.35%,89.81%,Not enough data available to calculate measure,Not enough data available to calculate measure,29.93%,,,,,,,,,,
H5989,Comprehensive Care Management Corp.,COMPREHENSIVE CARE MANAGEMENT CORP.,Not measured,Not measured,98.44%,0.83%,7.59%,0.00%,86.09%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5991,Affinity Health Plan,"AFFINITY HEALTH PLAN, INC.",Not measured,Not measured,97.69%,0.00%,5.27%,0.31%,47.43%,100.00%,20.81%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,68.61%,,,,,,,,,,
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH, LLC",Not measured,Not measured,35.63%,0.00%,9.10%,1.35%,55.22%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H5995,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",100.00%,100.00%,93.19%,1.67%,10.11%,2.01%,67.54%,100.00%,6.02%,72.97%,80.53%,42.11%,Not enough data available to calculate measure,3.25%,,,,,,,,,,
H5998,UnitedHealthcare Community Plan,"UNISON HEALTH PLAN OF TENNESSEE, INC.",Not measured,100.00%,Not measured,1.83%,5.37%,0.77%,40.51%,91.67%,36.28%,26.67%,80.05%,Not enough data available to calculate measure,Not enough data available to calculate measure,2.00%,,,,,,,,,,
H6050,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.",,,,,,,,Not measured,11.32%,Not enough data available to calculate measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,93.22%,,,,,,,,,,
H6052,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.",,,,,,,,Not measured,7.74%,Not enough data available to calculate measure,81.22%,81.08%,Not enough data available to calculate measure,91.98%,,,,,,,,,,
H6120,PHYSICIANS HEALTH CHOICE,PHYSICIANS HEALTH CHOICE OF FLORIDA,Not measured,Not measured,Not measured,0.83%,0.00%,0.00%,63.04%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6178,CareSource,CARESOURCE,Not measured,Not measured,73.30%,3.33%,7.65%,0.76%,43.34%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6181,Amerigroup Community Care,"AMERIGROUP NEW YORK, LLC",Not measured,Not measured,92.05%,1.67%,5.64%,0.00%,43.79%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6228,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,77.78%,Not measured,9.58%,0.00%,77.44%,100.00%,,,,,,,,,,,,,,,,
H6264,Health Plus Elite,"HEALTHPLUS PHSP, INC.",Not measured,Not measured,97.94%,3.33%,4.73%,1.24%,55.15%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6328,Care N' Care Health Plan,"CARE N' CARE INSURANCE COMPANY, INC.",Not measured,Not measured,92.52%,0.83%,1.94%,0.00%,63.67%,91.67%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6360,Kaiser Permanente Medicare Plus,KAISER FOUNDATION HP OF OHIO,Not measured,100.00%,83.99%,Not measured,5.12%,1.83%,68.03%,100.00%,3.37%,67.65%,73.28%,53.33%,84.15%,91.00%,,,,,,,,,,
H6411,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,100.00%,85.36%,1.62%,5.75%,1.34%,52.11%,100.00%,57.00%,Not enough data available to calculate measure,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,,,,,,,,,,
H6421,Bravo  Health,BRAVO HEALTH MID- ATLANTIC INC.,Not measured,Not measured,100.00%,0.00%,8.00%,0.00%,61.84%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6528,Care Improvement Plus,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,Not measured,Not measured,90.10%,0.00%,0.00%,Not measured,0.00%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6609,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,50.00%,86.64%,1.62%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6642,"Universal HMO of Texas, Inc.","UNIVERSAL HMO OF TEXAS, INC.",100.00%,Not measured,42.86%,0.88%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H6793,Erickson Advantage,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,Not measured,Not measured,9.76%,0.00%,68.39%,100.00%,,,,,,,,,,,,,,,,
H6806,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.",100.00%,100.00%,Not measured,Not measured,8.57%,1.09%,66.07%,100.00%,2.88%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H6864,GuildNet,"GUILDNET, INC.",Not measured,Not measured,87.76%,0.00%,14.25%,0.00%,53.65%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6900,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,93.13%,1.54%,7.70%,1.17%,66.38%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6923,Aetna Medicare,AETNA HEALTH,100.00%,Not measured,Not measured,0.00%,10.88%,0.00%,53.44%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H6952,UnitedHealthcare Community Plan,"GREAT LAKES HEALTH PLAN, INC.",Not measured,Not measured,74.26%,0.84%,3.66%,0.78%,53.94%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7002,Humana Insurance Company,HUMANA INSURANCE COMPANY,Not measured,Not measured,92.25%,1.48%,0.00%,0.00%,51.47%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7006,"Marion Polk Community Health Plan Advantage, Inc.","MARION POLK COMMUNITY HEALTH PLAN ADVANTAGE, INC.",Not measured,Not measured,91.38%,1.67%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7015,Healthfirst NJ Medicare Plan,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.",Not measured,Not measured,77.03%,0.83%,5.77%,0.75%,38.19%,100.00%,25.02%,48.08%,91.50%,Not enough data available to calculate measure,Not enough data available to calculate measure,10.75%,,,,,,,,,,
H7086,Community Health Group,COMMUNITY HEALTH GROUP,Not measured,Not measured,100.00%,1.67%,2.36%,0.72%,51.65%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7149,Coventry Health Care,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",100.00%,Not measured,90.00%,0.00%,8.28%,1.15%,63.97%,100.00%,14.39%,Not enough data available to calculate measure,72.11%,Not enough data available to calculate measure,Not enough data available to calculate measure,40.17%,,,,,,,,,,
H7179,Arcadian Community Care,"ARCADIAN HEALTH PLAN OF LOUISIANA, INC.",Not measured,Not measured,93.81%,1.92%,8.55%,2.18%,49.22%,100.00%,19.48%,Not enough data available to calculate measure,79.33%,Not enough data available to calculate measure,Not enough data available to calculate measure,9.43%,,,,,,,,,,
H7187,SecureHorizons by UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,Not measured,Not measured,92.40%,1.05%,5.60%,0.96%,51.84%,91.67%,17.72%,58.06%,85.29%,Not enough data available to calculate measure,Not enough data available to calculate measure,21.69%,,,,,,,,,,
H7188,Humana Insurance Company,HUMANA INSURANCE COMPANY,100.00%,100.00%,90.25%,1.48%,7.64%,1.33%,58.32%,100.00%,46.08%,58.70%,97.42%,Not enough data available to calculate measure,Not enough data available to calculate measure,15.82%,,,,,,,,,,
H7200,Amerigroup Community Care,"AMERIGROUP TENNESSEE, INC.",Not measured,Not measured,98.39%,1.85%,8.58%,0.96%,51.28%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7220,"Clarian Health Plans, Inc. - Clarian Medicare","CLARIAN HEALTH PLANS, INC.",Not measured,Not measured,93.04%,0.00%,7.66%,0.97%,58.21%,100.00%,7.01%,Not enough data available to calculate measure,68.83%,Not enough data available to calculate measure,Not enough data available to calculate measure,56.29%,,,,,,,,,,
H7226,HARVARD PILGRIM HEALTH CARE INC.,HARVARD PILGRIM HEALTH CARE INC.,100.00%,Not measured,91.41%,0.83%,6.22%,1.27%,68.49%,100.00%,8.08%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,
H7252,Physicians Health Choice,PHYSICIANS HEALTH CHOICE OF ARKANSAS,Not measured,Not measured,83.16%,0.92%,4.66%,1.94%,53.21%,100.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,,,,,,,,,,
H7281,Bravo Health,"BRAVO HEALTH PENNSYLVANIA, INC.",Not measured,Not measured,89.56%,0.00%,Not measured,Not measured,Not measured,100.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,
H7292,Alameda Alliance for Health,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),Not measured,100.00%,56.98%,0.00%,5.83%,1.44%,54.33%,100.00%,11.13%,Not enough data available to calculate measure,0 - Plan reported a Biased Rate,Not enough data available to calculate measure,Not enough data available to calculate measure,32.58%,,,,,,,,,,
H7301,PersonalCare,PERSONAL CARE INSURANCE OF ILLINOIS,100.00%,100.00%,95.00%,0.00%,6.36%,1.54%,64.37%,100.00%,13.35%,Not enough data available to calculate measure,74.48%,Not enough data available to calculate measure,Not enough data available to calculate measure,47.31%,,,,,,,,,,
