CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Special Needs Plan (SNP) Care Management - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer used during Office Visits - DMC19,Computer use by Provider Helpful - DMC20,Computer use Made Talking to Provider Easier - DMC21,Breast Cancer Screening - DMC22,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Drug-Drug Interactions  - DMD03,Diabetes Medication Dosing - DMD04,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD05,MPF – Stability - DMD06,Medication Therapy Management Program Completion Rate for Comprehensive Medication Reviews - DMD07,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD08,Getting Information from Drug Plan - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to fill prescriptions - DMD13,Reminders to take medications - DMD14,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07",Beneficiary Access and Performance Problems - DME08
H5141,CarePoint Health Plans,CAREPOINT INSURANCE COMPANY,IJKG Opco LLC,Not enough data available,91%,Not enough data available,Not enough data available,82%,No data available,Not enough data available,No data available,No data available,80%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,10.1%,2.58%,100%,99,Plan too small to be measured,No data available,No data available,99,No data available,0.0%,No data available,No data available,98%,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available,80
H5151,The Health Plan,HEALTH PLAN OF THE UPPER OHIO VALLEY,Health Plan of the Upper Ohio Valley,Not enough data available,86%,64%,97%,91%,70%,42%,90%,77%,97%,Plan not required to report measure,69%,78%,53%,6%,51%,44%,34%,63%,Not enough data available,42%,75%,No data available,No data available,6.6%,0.20%,100%,103,11.8%,16.46%,89%,96,No data available,No data available,30%,10%,90%,CMS Found Issues with Plan's Data,6,4,50,6,3,80
H5172,Community Health Group,COMMUNITY HEALTH GROUP,Community Health Group,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5190,Sunshine Health,"SUNSHINE STATE HEALTH PLAN, INC.",Centene Corporation,Not enough data available,74%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,Not enough data available,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,100%,No data available,Plan too small to be measured,No data available,No data available,97,No data available,0.0%,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H5207,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",Not enough data available,80%,Not enough data available,Not enough data available,100%,No data available,Not enough data available,No data available,No data available,100%,99.7%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,78%,No data available,No data available,6.7%,0.00%,100%,No data available,Plan too small to be measured,15.79%,No data available,100,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available,80
H5209,"Care Wisconsin Health Plan, Inc.","CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin First, Inc.",Not enough data available,80%,Not enough data available,Not enough data available,96%,63%,17%,95%,85%,98%,CMS Found Issues with Plan’s Data,76%,82%,27%,2%,70%,61%,39%,90%,Not enough data available,52%,66%,100%,100.00%,9.9%,1.19%,100%,99,26.7%,23.81%,No data available,95,No data available,13.3%,38%,34%,No data available,0.00,No data available,No data available,No data available,No data available,No data available,80
H5211,"Security Health Plan of Wisconsin, Inc.","SECURITY HEALTH PLAN OF WISCONSIN, INC.","Marshfield Clinic Health System, Inc.",51%,71%,61%,97%,95%,83%,39%,93%,78%,96%,Plan not required to report measure,81%,84%,33%,4%,62%,37%,36%,92%,94%,52%,83%,No data available,No data available,5.3%,1.75%,100%,97,14.1%,17.31%,88%,98,0.0%,0.0%,15%,10%,94%,CMS Found Issues with Plan's Data,8,15,40,5,5,100
H5214,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,52%,97%,48%,83%,93%,78%,41%,91%,71%,97%,Plan not required to report measure,74%,78%,43%,3%,53%,40%,34%,80%,Not enough data available,56%,70%,100%,No data available,5.9%,0.65%,100%,98,20.6%,18.18%,82%,98,0.0%,0.0%,50%,27%,97%,CMS Found Issues with Plan's Data,13,15,36,9,12,80
H5215,Network Health Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,"Ministry Health Care, Inc.",70%,95%,59%,88%,94%,79%,40%,93%,80%,96%,55.6%,81%,84%,40%,4%,60%,42%,38%,93%,94%,53%,79%,50%,100.00%,5.4%,0.91%,100%,97,12.7%,16.39%,No data available,98,6.7%,33.3%,21%,10%,99%,0.53,5,20,25,5,5,100
H5216,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,65%,97%,63%,93%,91%,78%,31%,92%,81%,97%,Plan not required to report measure,79%,77%,43%,4%,62%,43%,40%,91%,93%,52%,75%,100%,No data available,5.9%,0.60%,100%,98,17.8%,21.21%,81%,98,0.0%,0.0%,49%,24%,94%,1.24,12,7,43,7,7,80
H5253,UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",70%,86%,58%,93%,92%,80%,35%,91%,80%,96%,59.9%,77%,79%,32%,4%,66%,54%,43%,91%,94%,58%,77%,100%,75.00%,5.6%,1.04%,96%,99,16.0%,17.69%,83%,98,0.0%,6.7%,48%,20%,95%,3.06,11,26,15,7,8,80
H5256,Medical Associates Clinic Health Plan of Wisconsin,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,"Medical Associates Clinic, P.C.",Not enough data available,41%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,75%,35%,94%,77%,97%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available,Not enough data available,53%,27%,23%,84%,93%,55%,65%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,95%,0.00,No data available,No data available,No data available,No data available,No data available,100
H5262,"Gundersen Health Plan, Inc.",GUNDERSEN HEALTH PLAN,Gundersen Lutheran Health System Inc.,Not enough data available,89%,64%,90%,93%,82%,41%,93%,84%,98%,Plan not required to report measure,87%,92%,32%,4%,66%,34%,31%,96%,97%,57%,86%,No data available,No data available,3.7%,0.37%,88%,98,27.2%,19.40%,90%,99,0.0%,0.0%,16%,11%,97%,0.72,8,18,34,6,8,100
H5264,"Dean Health Plan, Inc.","DEAN HEALTH PLAN, INC.",Dean Health Systems Inc.,78%,85%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,74%,36%,92%,79%,97%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,30%,4%,59%,39%,29%,92%,95%,51%,78%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%,0.02,7,22,24,No data available,No data available,100
H5280,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5291,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,55%,97%,52%,Not enough data available,90%,80%,38%,89%,75%,96%,Plan not required to report measure,67%,80%,32%,3%,58%,37%,36%,82%,Not enough data available,51%,65%,No data available,100.00%,5.3%,0.48%,100%,98,26.6%,29.41%,78%,97,0.0%,0.0%,42%,17%,96%,1.63,20,38,19,9,17,80
H5294,Superior HealthPlan,"SUPERIOR HEALTH PLAN, INC.",Centene Corporation,33%,83%,30%,Not enough data available,91%,59%,Not enough data available,No data available,53%,93%,CMS Found Issues with Plan’s Data,65%,88%,29%,3%,56%,48%,44%,78%,Not enough data available,52%,69%,No data available,100.00%,4.9%,0.04%,100%,106,45.7%,No data available,72%,95,0.0%,0.0%,44%,41%,No data available,CMS Found Issues with Plan's Data,40,45,19,19,31,60
H5302,Coventry Health Care,"COVENTRY HEALTH CARE OF GEORGIA, INC.",Aetna Inc.,Not enough data available,80%,63%,Not enough data available,92%,70%,52%,91%,56%,94%,Plan not required to report measure,69%,86%,34%,2%,56%,44%,43%,80%,Not enough data available,55%,69%,No data available,No data available,5.2%,0.33%,96%,96,29.0%,No data available,No data available,99,No data available,0.0%,34%,20%,100%,1.19,6,4,15,8,6,80
H5322,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,96%,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H5355,IEHP DualChoice,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5378,Universal American Corp.,THE PYRAMID LIFE INSURANCE COMPANY,Universal American Corp.,Not enough data available,83%,60%,Not enough data available,90%,62%,22%,93%,65%,93%,Plan not required to report measure,68%,73%,46%,5%,62%,57%,45%,84%,Not enough data available,61%,55%,No data available,No data available,6.7%,0.38%,100%,98,31.2%,30.56%,No data available,98,No data available,0.0%,49%,37%,96%,6.27,13,9,46,11,8,100
H5386,North County Select,SHARP HEALTH PLAN,Sharp Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5410,"HealthSpring of Florida, Inc.",HEALTHSPRING OF FLORIDA,CIGNA,64%,94%,45%,94%,98%,85%,68%,96%,60%,99%,75.9%,66%,90%,8%,1%,86%,84%,70%,95%,95%,66%,89%,100%,No data available,6.9%,0.14%,92%,97,88.5%,No data available,90%,0,0.0%,13.3%,41%,45%,99%,0.64,22,25,12,12,17,100
H5414,Aetna Medicare,"AETNA HEALTH, INC. (FL)",Aetna Inc.,Not enough data available,89%,70%,Not enough data available,93%,89%,37%,91%,67%,97%,Plan not required to report measure,73%,78%,62%,11%,63%,50%,40%,82%,Not enough data available,53%,79%,100%,100.00%,4.2%,0.72%,100%,97,37.5%,No data available,84%,99,No data available,0.0%,38%,19%,99%,2.08,17,19,35,12,11,80
H5415,"Humana Health Insurance Company of Florida, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,48%,97%,60%,Not enough data available,95%,90%,41%,90%,76%,98%,Plan not required to report measure,84%,84%,35%,1%,58%,38%,37%,78%,Not enough data available,44%,80%,100%,No data available,5.9%,0.72%,100%,98,28.7%,9.09%,No data available,98,No data available,0.0%,52%,16%,92%,2.62,6,15,31,8,5,80
H5416,"Arcadian Health Plan, Inc.","ARCADIAN HEALTH PLAN, INC.",Humana Inc.,61%,97%,64%,Not enough data available,90%,72%,27%,92%,77%,95%,51.6%,81%,79%,37%,3%,59%,51%,42%,91%,Not enough data available,57%,64%,No data available,No data available,5.2%,0.69%,100%,98,21.3%,37.93%,83%,97,No data available,0.0%,47%,19%,94%,1.45,13,27,9,5,8,60
H5417,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,86%,88%,Not enough data available,96%,61%,Not enough data available,No data available,No data available,100%,90.8%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,21%,No data available,No data available,12.8%,0.62%,96%,No data available,0.7%,21.10%,No data available,97,No data available,0.0%,No data available,No data available,No data available,0.19,No data available,No data available,No data available,No data available,No data available,80
H5420,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.","UnitedHealth Group, Inc.",31%,97%,58%,82%,96%,84%,28%,95%,47%,97%,36.3%,45%,68%,26%,1%,69%,46%,49%,72%,Not enough data available,58%,79%,100%,No data available,7.4%,0.98%,96%,98,11.8%,No data available,No data available,92,46.7%,53.3%,53%,30%,97%,CMS Found Issues with Plan's Data,12,26,25,13,9,100
H5422,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,"WellPoint, Inc.",Not enough data available,86%,37%,Not enough data available,93%,75%,53%,91%,62%,94%,Plan not required to report measure,Not enough data available,Not enough data available,38%,3%,55%,42%,42%,80%,Not enough data available,53%,66%,No data available,No data available,5.3%,1.36%,100%,98,11.0%,No data available,77%,96,No data available,13.3%,36%,12%,100%,CMS Found Issues with Plan's Data,13,14,44,7,9,100
H5424,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",62%,80%,48%,89%,92%,61%,25%,89%,62%,96%,37.3%,76%,85%,33%,2%,62%,63%,45%,73%,Not enough data available,65%,63%,100%,No data available,5.5%,0.65%,96%,99,10.7%,11.40%,No data available,99,0.0%,0.0%,52%,30%,98%,1.77,20,13,24,11,16,80
